25,"10.1","Continuous improvement","Implement continuous improvement within the SMSI.","","- continuous improvement plan","Monitor the improvement of the relevance, adequacy and effectiveness of the information security management system.","Green: compliant\nRed: non-compliant","Continually improve the relevance, adequacy and effectiveness of the information security management system."
26,"5.23","Information security in the use of cloud services","Specify and manage information security when using cloud services.","#Preventive #Confidentiality #Integrity #Availability #Protect #Security_of_supplier_relations #Governance_and_Ecosystem #Protection","- Relevant cloud services\n- Processes for acquisition, use, management and termination of cloud services\n- Evidence of application of acquisition, use, management and termination processes","Monitor that the processes for acquiring, using, managing and terminating cloud services are defined in accordance with the organization's information security requirements.","Green: compliant\nOrange: anomaly\nRed: non-compliant","Define and monitor processes for acquiring, using, managing and terminating cloud services in accordance with the organization's information security requirements"
26,"5.24","Information security incident management planning and preparation","Ensure a rapid, effective, consistent and orderly response to information security incidents, including communication on information security events.","#Fix #Privacy #Integrity #Availability #Respond #Recover #Governance #Information_Security_Event Management #Defense","- incident management procedure\n- update date","Check that responsibilities for incident management are defined Check that the incident management procedure exists and is up to date","Green: compliant\nOrange: anomaly\nRed: non-compliant","Establish responsibilities and procedures to ensure a rapid, effective and relevant response in the event of an information security incident."
26,"5.25","Assessment of events related to information security and decision-making","Ensure effective categorization and prioritization of information security events.","#Detective #Privacy #Integrity #Availability #Detect #Respond #Information_security_event_handling #Defense","- list of incidents\n- selection process\n- list of information security incidents","Check that the selection process is applied","Green: compliant\nOrange: anomaly\nRed: non-compliant","Review the incident assessment process"
26,"5.26","Response to information security incidents","Ensure an efficient and effective response to information security incidents.","#Fix #Privacy #Integrity #Availability #Respond #Revert #Information_security_event_handling #Defense","Security incident management procedure Evidence of application of the procedure","Check that the procedure exists and is up to date Check that the procedure is followed","Green: compliant\nOrange: anomaly\nRed: non-compliant","Handle information security incidents in accordance with documented procedures."
26,"5.27","Learning from Information Security Incidents","Reduce the likelihood or consequences of future incidents.","#Preventive #Confidentiality #Integrity #Availability #Identify #Protect #Information_security_event_management #Defense","- Incident management procedure\n- Evidence of knowledge use","Check the existence of improvement in the procedure Check the existence of proof of improvement","Green: compliant\nOrange: anomaly\nRed: non-compliant","Use knowledge gained from incident analysis and resolution to reduce the likelihood or impact of future incidents."
26,"5.28","Collection of evidence","Ensure consistent and effective management of evidence relating to information security incidents for the purposes of legal or disciplinary actions.","#Fixed #Privacy #Integrity #Availability #Detect #Respond #Information_security_event_handling #Defense","- evidence collection procedure\n- proof of evidence collection","Check the documentation of the collection of evidence in the procedure Control the application of the collection of evidence","Green: compliant\nOrange: anomaly\nRed: non-compliant","Define and apply procedures for identifying, collecting, acquiring and protecting information that can be used as evidence."
26,"5.29","Information security during a disruption","Protect information and other associated assets during a disruption.","#Preventive #Corrective #Confidentiality #Integrity #Availability #Protect #Respond #Continuity #Protection #Resilience","- Business continuity management procedure\n- Security and continuity requirements\n- Evidence of verification of measures","Check the existence and updating of the procedure Check the security and continuity requirements","Green: compliant\nOrange: anomaly\nRed: non-compliant","Determine your requirements for information security and continuity of information security management in unfavorable situations, such as during a crisis or disaster."
26,"5.30","ICT readiness for business continuity","Ensure the availability of information and other associated assets of the organization during a disruption.","#Fix #Availability #Respond #Continuity #Resilience","- Systems concerned\n- Continuity objectives\n- Continuity tests","Control the identification of systems and their security objectives Control the performance of continuity tests","Green: compliant\nOrange: anomaly\nRed: non-compliant","Identify business continuity objectives and ICT continuity requirements. Perform continuity tests."
26,"5.31","Identification of legal, statutory, regulatory and contractual requirements","Ensure compliance with legal, statutory, regulatory and contractual requirements relating to information security.","#Preventive #Confidentiality #Integrity #Availability #Identify #Regulation_and_compliance #Governance_and_Ecosystem #Protection","- inventory of current legal, statutory, regulatory and contractual requirements\n- approach adopted by the organization to meet these requirements","Check that the inventory is up to date and that the approach is documented","Green: compliant\nOrange: anomaly\nRed: non-compliant","Explicitly define, document, and update all applicable legal, statutory, regulatory, and contractual requirements, and the organization's approach to meeting those requirements for each information system and for the organization itself ."
26,"5.32","Intellectual property rights","Ensure compliance with legal, statutory, regulatory and contractual requirements relating to intellectual property rights and the use of proprietary products.","#Preventive #Confidentiality #Integrity #Availability #Identify #Regulations_and_compliance #Governance_and_Ecosystem","- procedure to guarantee intellectual property\n- evidence of application of the procedure","Check the existence of the procedure and its updating and proof of application of the procedure","Green: compliant\nOrange: anomaly\nRed: non-compliant","Implement appropriate procedures to ensure compliance with legal, regulatory and contractual requirements relating to intellectual property and the use of proprietary software licenses."
26,"5.33","Protection of recordings","Ensure compliance with legal, statutory, regulatory and contractual requirements, as well as company or community expectations relating to the protection and availability of records.","#Preventive #Confidentiality #Integrity #Availability #Identify #Protéger #Regulation_and_conformity #Management_of_assets #Protection_of_informationtions #Defense","- recording protection measures\n- legal, regulatory, contractual and business requirements\n- Inventory of key information sources","- Check that the measures comply with the requirements.\n- Check the evidence of application of measures\n- Check the updating of the inventory of key information sources\n- Check the deletion of information","Green: compliant\nOrange: anomaly\nRed: non-compliant","Protect records from loss, destruction, tampering, unauthorized access and unauthorized dissemination, in accordance with legal, regulatory, contractual and business requirements."
26,"5.34","Personal data privacy and protection","Ensure compliance with legal, statutory, regulatory and contractual requirements relating to aspects of information security relating to the protection of personal data.","#Preventive #Confidentiality #Integrity #Availability #Identify #Protect #Information_Protection #Regulation_and_compliance #Protection","- Privacy policy\n- protection measures","Control the existence and updating of the privacy policy and the application of protection measures","Green: compliant\nOrange: anomaly\nRed: non-compliant","Guarantee the protection of privacy and the protection of personal data as required by applicable legislation or regulations, and contractual clauses where applicable."
26,"5.35","Independent Information Security Review","Ensure that the organization's approach to managing information security is continually appropriate, adequate and effective.","#Preventive #Corrective #Confidentiality #Integrity #Availability #Identify #Protect #Information_Security_Assurance #Governance_and_Ecosystem","- Independent journals\n- Journal monitoring plan\n- Changes in organization","Monitor that independent reviews of the organization's approach to managing and implementing information security, including people, processes and technology, are conducted at defined intervals or when significant changes have occurred.","Green: compliant\nOrange: anomaly\nRed: non-compliant","Conduct an independent review of the organization's approach to managing and implementing information security (i.e. monitoring security objectives, measures, policies, procedures and processes relating to security information) and put in place a monitoring plan for the review."
26,"5.36","Compliance with information security policies and standards","Ensure that information security is implemented and operating in accordance with the information security policy, topic-specific policies, rules and standards of the organization.","#Preventive #Confidentiality #Integrity #Availability #Identify #Protect #Regulation_and_compliance #Information_security_assurance #Governance_and_Ecosystem","- inventory of the information systems concerned\n- proof of verification","Check that compliance with the information security policy, topic policies and organizational standards is checked regularly.","Green: compliant\nOrange: anomaly\nRed: non-compliant","Examine information systems for compliance with the organization's information security policies and standards."
26,"5.37","Documented operating procedures","Ensure the correct and secure operation of information processing resources.","#Preventive #Corrective #Privacy #Integrity #Availability #Protect #Recover #Asset_management #Physical_security #System_and_network_security #Application_security #Secure_configuration #Identity_and_access_management #Threat_and_vulnerability_management #Continuity #Event_management _information_security #Governance_and_Ecosystem #Protection #Defense","- operating procedure\n- availability of procedures to users","Control the existence and updating of operating procedures and the provision of procedures to the users concerned","Green: compliant\nOrange: anomalies\nRed: non-compliant","Document and make available to the users concerned the operating procedures."
25,"5.x","Leadership","Be able to lead the organization to achieve the objectives of the ISMS.","","Evidence of management leadership\n- Information security policy\n- Definitions of information security roles, responsibilities and authorities","Monitor:\n- Evidence of leadership and management commitment\n- Information security policy\n- Roles, responsibilities and authorities within the organization","Green: compliant\nRed: non-compliant","Define and assign roles, responsibilities and authorities regarding information security within the organization; Establish an information security policy; Identify the responsible persons by name."
27,"6.01","Pre-selection","Ensure that all personnel are eligible and suitable to perform the duties for which they are candidates, and that they remain so throughout their employment.","#Preventive #Confidentiality #Integrity #Availability #Protect #Security_of_reshuman_sources #Governance_and_Ecosystem","- Candidate selection procedure\n- Evidence of execution of the selection process","Check the existence of an up-to-date procedure and the existence of evidence of execution of the selection process.","Green: compliant\nOrange: minor non-compliance\nRed: no evidence","Update the procedure and perform checks on all job applicants."
27,"6.02","General conditions of employment","Ensure that staff understand their responsibilities in terms of information security within the framework of the functions that the organization intends to entrust to them.","#Preventive #Confidentiality #Integrity #Availability #Protect #Security_of_reshuman_sources #Governance_and_Ecosystem","- definitions of terms\n- proof of existence of terms in agreements","Check the existence of the terms and proof of presence of the terms the agreements","Green: presence of evidence\nOrange: minor non-conformity\nRed: absence of evidence","Define the responsibilities and those of the organization in terms of information security in the contractual agreements between employees and subcontractors."
27,"6.03","Information security awareness, learning and training","Ensure that staff and relevant interested parties are aware of and fulfill their information security responsibilities.","#Preventive #Confidentiality #Integrity #Availability #Protect #Security_of_reshuman_sources #Governance_and_Ecosystem","- information security awareness plan\n- attendance sheets","Check the existence of a security awareness plan and staff participation in training","Green: existence of a plan and presence of staff\nOrange: minor non-compliance\nRed: Lack of awareness","Raise awareness of information security among organizational personnel and interested parties, provide them with appropriate information security learning and training, and provide them with regular updates of the organization's policies and procedures. organization applicable to their function."
27,"6.04","Disciplinary process","Ensure that staff and other relevant interested parties understand the consequences of violations of the information security policy, prevent such violations, and appropriately deal with staff and other interested parties who have committed violations .","#Preventive #Corrective #Confidentiality #Integrity #Availability #Protect #Respond #Human_resource_security #Governance_and_Ecosystem","Disciplinary process\n- Communication of the process\n- Interested parties","Control that a disciplinary process for taking action against staff and other interested parties who have committed a violation of the information security policy is formalized and communicated.","Green: exists\nOrange: minor non-compliance\nRed: absence of evidence","Formalize and communicate a disciplinary process for taking action against staff and other interested parties who have committed an information security policy violation."
27,"6.05","Responsibilities following the end or modification of the service contract","Protect the interests of the organization in the process of changing or terminating a job or contract.","#Preventive #Confidentiality #Integrity #Availability #Protect #Human_resources_security #Asset_management #Governance_and_Ecosystem","- definition of terms\n- proofs of application","Existence of terms and evidence of application","Green: exists\nOrange: minor non-conformities\nRed: absence of evidence","Define the responsibilities and missions related to information security which remain valid following the termination, termination or modification of the employment contract."
27,"6.06","Confidentiality or non-disclosure commitments","Ensure the confidentiality of information accessible by staff or external parties.","#Preventive #Confidentiality #Protect #Human_resources_security #Information_protection #Supplier_relations #Governance_and_Ecosystem","the requirements in terms of confidentiality or non-disclosure commitments are documented\n- the confidentiality commitments have been signed by the service providers during the last projects carried out.","Check that requirements are identified and documented","Green: compliant\nOrange: anomaly\nRed: non-compliant","Identify, verify and document requirements for confidentiality or non-disclosure commitments."
27,"6.07","Remote work","Ensure information security when staff work remotely.","#Preventive #Privacy #Integrity #Availability #Protect #Asset_management #Information_protection #Physical_security #System_and_network_security #Protection","- Additional security measures\n- Evidence of application of additional measures","Check the existence and updating of additional security measures and evidence of application of these measures","Green: presence of evidence\nOrange: minor non-conformity\nRed: absence of evidence","Define and implement a policy and additional security measures to protect the information consulted, processed or stored on teleworking sites."
27,"6.08","Reporting of Information Security Events","Enable the reporting of information security events that can be identified by personnel, in a timely, consistent and efficient manner.","#Detective #Privacy #Integrity #Availability #Detect #Information_Security_Event_Management #Defense","- Incident management procedure\n- Example of an incident reported by the hierarchical channels","Check the existence of the procedure, its application and its update","Green: compliant\nOrange: anomaly\nRed: non-compliant","Report information security events as soon as possible through appropriate reporting lines."
25,"6.x","Planning","Implement actions to address risks and opportunities\n- Define information security objectives and plans to achieve them\n- Plan changes to the ISMS","","- Risk assessment\n- Risk register\n- Risk treatment plan\n- Information security objectives","Control the actions implemented in the face of risks and opportunities\n- Information security objectives\n- ISMS modification plan","Green: compliant\nRed: non-compliant","Implement actions to address risks and opportunities, information security objectives and an ISMS modification plan."
28,"7.01","Physical security perimeter","Prevent unauthorized physical access, damage, or interference to information and other associated assets of the organization.","#Preventive #Confidentiality #Integrity #Availability #Protect #Physical_Security #Protection","definition of security perimeters\n- inventory of areas containing sensitive information","Check that security perimeters to protect areas that contain sensitive or critical information and other associated assets are defined.","Green: compliant\nOrange: anomalies\nRed: non-compliant","Define security perimeters to protect areas containing sensitive or critical information and the means of processing the information."
28,"7.02","Physical access controls","Ensure that only authorized physical access to information and other associated assets of the organization is possible.","#Preventive #Confidentiality #Integrity #Availability #Protect #Physical_security #Identity_and_access_management #Protection","- inventory of secure areas\n- adequate entry controls\n- application of controls","Check that secure areas are protected with adequate entry controls to ensure that only authorized personnel are admitted.","Green: compliant\nOrange: anomaly\nRed: non-compliant","Implement adequate controls upon entry to secure areas to ensure that only authorized personnel are admitted."
28,"7.03","Securing offices, rooms and equipment","Prevent unauthorized physical access, damage and interference to information and other associated assets of the organization in offices, rooms and facilities.","#Preventive #Confidentiality #Integrity #Availability #Protect #Physical_security #Asset_management #Protection","- inventory of offices, rooms and equipment\n- physical security measures\n- application of measures","Control inventory, security measures and application of measures.","Green: compliant\nOrange: anomalies\nRed: non-compliant","Design and apply physical security measures to offices, rooms and equipment."
28,"7.04","Physical Security Monitoring","Detect and deter unauthorized physical access.","#Preventive #Detective #Confidentiality #Integrity #Availability #Protect #Detect #Physical_Security #Protection #Defense","- physical premises concerned\n- security measures put in place\n- evidence of surveillance","Control the application of continuous surveillance measures of premises","Green: compliant\nOrange: anomalies\nRed: non-compliant","Identify the premises concerned, identify the measures to be put in place and continuously monitor unauthorized physical access"
28,"7.05","Protection against physical and environmental threats","Prevent or reduce the consequences of events resulting from physical or environmental threats.","#Preventive #Confidentiality #Integrity #Availability #Protect #Physical_Security #Protection","inventory of natural disasters malicious attacks or accidents taken into account\n- physical protection measures\n- application of these measures","Control inventory and application of measures. Count the number of abnormalities.","Green: compliant\nOrange: anomaly\nRed: non-compliant","Design and implement physical protection measures against natural disasters, malicious attacks or accidents."
28,"7.06","Work in secure areas","Protect information and other associated assets in secure areas from damage and unauthorized interference by personnel working in those areas.","#Preventive #Confidentiality #Integrity #Availability #Protect #Physical_Security #Protection","- procedure for working in secure areas\n- secure areas\n- application of the procedure","Check that the inventories exist and are up to date.","Green: compliant\nOrange: anomaly\nRed: non-compliant","Design and apply procedures for working in secure areas."
28,"7.07","Clean desktop and blank screen","Reduce the risk of unauthorized access, loss and damage to information on desks, screens and in other accessible locations during and outside normal working hours.","#Preventive #Privacy #Protect #Physical_Security #Protection","- Clean desk policy\n- User compliance with policy","Monitor that clean desk rules for paper documents and removable storage media, and blank screen rules for information processing facilities are defined and enforced.","Green: compliant\nOrange: anomalies\nRed: non-compliant","- Review the clean desk policy for paper documents and removable storage media,\n- Raise user awareness about respecting the clean desk and locked screen policy"
28,"7.08","Location and protection of equipment","Reduce risk from physical and environmental threats, and unauthorized access and damage.","#Preventive #Confidentiality #Integrity #Availability #Protect #Physical_security #Asset_management #Protection","- inventory of the equipment concerned\n- threats and environmental hazards retained\n- locations\n- measures implemented","Control the inventory of the equipment concerned and their locations. Check the application of protective measures.","Green: compliant\nOrange: anomalies\nRed: non-compliant","Protect materials against the risks associated with environmental threats and hazards and the possibility of unauthorized access."
28,"7.09","Off-Premises Asset Security","Prevent loss, damage, theft, or compromise of off-site endpoints and disruption of organizational operations.","#Preventive #Confidentiality #Integrity #Availability #Protect #Physical_security #Asset_management #Protection","- security measures applied\n- evidence of application of security measures","Monitor the application of security measures","Green: compliant\nOrange: minor non-compliance\nRed: non-compliant","Apply safety measures to materials used off-site, taking into account the various risks associated with off-site work."
28,"7.10","Storage media","Ensure that only authorized disclosure, modification, removal or destruction of organizational information on storage media is made.","#Preventive #Confidentiality #Integrity #Availability #Protect #Physical_security #Asset_management #Protection","- storage media management procedure\n- media samples\n- evidence of media management (conservation, classification, etc.)\n- Sample of transport carried out\n- Proof of transport\n- Evidence of disposal","Check that procedures for the management of removable media are implemented in accordance with the classification plan adopted by the organization.\n- Monitor that media that are no longer required are disposed of securely following formal procedures.\n- Check that the media containing information are protected against unauthorized access, user errors and alteration during transport.","Green: compliant\nOrange: anomalies\nRed: non-compliant","Manage storage media through their lifecycle of acquisition, use, transportation, and disposal in accordance with the organization's classification plan and handling requirements."
28,"7.11","General services","Prevent the loss, damage or compromise of information and other associated assets, or interruption of the organization's activities, caused by failures and disruptions of support services.","#Preventive #Detective #Integrity #Availability #Protect #Detect #Physical_Security #Protection","- inventory of the equipment concerned\n- protective measures","Control the inventory of equipment and the application of protective measures.","Green: compliant\nOrange: anomalies\nRed: non-compliant","Protect equipment from power outages and other disruptions due to failure of general services."
28,"7.12","Wiring Safety","Prevent the loss, damage, theft or compromise of information and other associated assets and the interruption of organizational activities related to electrical and communications cabling.","#Preventive #Confidentiality #Availability #Protect #Physical_Security #Protection","- inventory of the wiring concerned\n- protective measures against interception and damage","Control the wiring inventory and the application of measures","Green: compliant\nOrange: anomalies\nRed: non-compliant","Protect electrical cables, carrying data or supporting information services against interception, interference or damage."
28,"7.13","Hardware Maintenance","Prevent the loss, damage, theft or compromise of information and other associated assets and interruption of the organization's activities caused by lack of maintenance.","#Preventive #Privacy #Integrity #Availability #Protect #Physical_security #Asset_management #Protection #Resilience","- inventory of the equipment concerned\n- maintenance measures\n- proof of application of maintenance measures","Control the inventory of the equipment concerned, the maintenance measures and the application of the measures","Green: compliant\nOrange: anomalies\nRed: non-compliant","Properly maintain equipment to guarantee its permanent availability and integrity."
28,"7.14","Safe disposal or recycling of equipment","Avoid leaking information from material to be disposed of or reused.","#Preventive #Privacy #Protect #Physical_security #Asset_management #Protection","- inventory of equipment containing sensitive data\n- evidence of data erasure","Check that the inventory is up to date. Check the presence of evidence of data erasure","Green: compliant\nOrange: anomalies\nRed: non-compliant","Ensure that any sensitive data has been removed and any licensed software has been uninstalled or securely overwritten from hardware containing sensitive data before disposal or reuse."
25,"7.2","Competences","Have the necessary resources and Competences for the implementation of the ISMS.","","- Necessary resources\n- Competences matrix","Check that the necessary resources are available and have the necessary competences.","Green: compliant\nRed: non-compliant","Have the necessary resources with the competences required for ISMS management."
